"","x"
"fill1","#F8766D"
"fill2","#C49A00"
"fill3","#53B400"
"fill4","#00C094"
"fill5","#00B6EB"
"fill6","#A58AFF"
"fill7","#FB61D7"
"fill8","#F8766D"
"fill9","#C49A00"
"fill10","#53B400"
"fill11","#00C094"
"fill12","#00B6EB"
"fill13","#A58AFF"
"fill14","#FB61D7"
"fill15","#F8766D"
"fill16","#C49A00"
"fill17","#53B400"
"fill18","#00C094"
"fill19","#00B6EB"
"fill20","#A58AFF"
"fill21","#FB61D7"
"fill22","#F8766D"
"fill23","#C49A00"
"fill24","#53B400"
"fill25","#00C094"
"fill26","#00B6EB"
"fill27","#A58AFF"
"fill28","#FB61D7"
"fill29","#F8766D"
"fill30","#C49A00"
"fill31","#53B400"
"fill32","#00C094"
"fill33","#00B6EB"
"fill34","#A58AFF"
"fill35","#FB61D7"
"fill36","#F8766D"
"fill37","#C49A00"
"fill38","#53B400"
"fill39","#00C094"
"fill40","#00B6EB"
"fill41","#A58AFF"
"fill42","#FB61D7"
"ymin1","0.868722"
"ymin2","0.468645"
"ymin3","0.510391"
"ymin4","0.567087"
"ymin5","0"
"ymin6","1"
"ymin7","1.04"
"ymin8","0.692695"
"ymin9","0.562476"
"ymin10","0.662222"
"ymin11","0.544156"
"ymin12","0"
"ymin13","0.73"
"ymin14","0.56"
"ymin15","0.193358"
"ymin16","0.112763"
"ymin17","0.290201"
"ymin18","0.337602"
"ymin19","0"
"ymin20","0.25"
"ymin21","0.37"
"ymin22","0.0776964"
"ymin23","0.314101"
"ymin24","0.384267"
"ymin25","0.33921"
"ymin26","0.03"
"ymin27","0.28"
"ymin28","0.29"
"ymin29","0.236719"
"ymin30","0.28887"
"ymin31","0.238884"
"ymin32","0.335329"
"ymin33","0.16"
"ymin34","0.33"
"ymin35","0.39"
"ymin36","0.885304"
"ymin37","0.463428"
"ymin38","0.93162"
"ymin39","0.765281"
"ymin40","0.06"
"ymin41","0.61"
"ymin42","0.55"
"lower1","0.868722"
"lower2","0.468645"
"lower3","0.510391"
"lower4","0.567087"
"lower5","0"
"lower6","1"
"lower7","1.1425"
"lower8","0.692695"
"lower9","0.562476"
"lower10","0.662222"
"lower11","0.544156"
"lower12","0"
"lower13","0.7975"
