"","Picture","method","value"
"1",40,"Mask.center.1.inside.Mask.2",0
"2",40,"Mask.center.1.inside.Mask.2",0
"3",40,"Mask.center.1.inside.Mask.2",0
"4",40,"Mask.center.1.inside.Mask.2",0
"5",40,"Mask.center.1.inside.Mask.2",0
"6",40,"Mask.center.1.inside.Mask.2",0
"7",40,"Mask.center.1.inside.Mask.2",0
"8",40,"Mask.center.1.inside.Mask.2",0
"9",40,"Mask.center.1.inside.Mask.2",0
"10",40,"Mask.center.1.inside.Mask.2",0
"11",40,"Mask.center.1.inside.Mask.2",0
"12",40,"Mask.center.1.inside.Mask.2",0
"13",40,"Mask.center.1.inside.Mask.2",0
"14",40,"Mask.center.1.inside.Mask.2",0
"15",40,"Mask.center.1.inside.Mask.2",0.03
"16",40,"Mask.center.1.inside.Mask.2",0
"17",40,"Mask.center.1.inside.Mask.2",0
"18",40,"Mask.center.1.inside.Mask.2",0
"19",40,"Mask.center.1.inside.Mask.2",0
"20",40,"Mask.center.1.inside.Mask.2",0
"21",80,"Mask.center.1.inside.Mask.2",0
"22",80,"Mask.center.1.inside.Mask.2",0
"23",80,"Mask.center.1.inside.Mask.2",0
"24",80,"Mask.center.1.inside.Mask.2",0
"25",80,"Mask.center.1.inside.Mask.2",0.03
"26",80,"Mask.center.1.inside.Mask.2",0
"27",80,"Mask.center.1.inside.Mask.2",0
"28",80,"Mask.center.1.inside.Mask.2",0
"29",80,"Mask.center.1.inside.Mask.2",0.04
"30",80,"Mask.center.1.inside.Mask.2",0.03
"31",80,"Mask.center.1.inside.Mask.2",0
"32",80,"Mask.center.1.inside.Mask.2",0
"33",80,"Mask.center.1.inside.Mask.2",0.07
"34",80,"Mask.center.1.inside.Mask.2",0.03
"35",80,"Mask.center.1.inside.Mask.2",0.03
"36",80,"Mask.center.1.inside.Mask.2",0.03
"37",80,"Mask.center.1.inside.Mask.2",0.03
"38",80,"Mask.center.1.inside.Mask.2",0
"39",80,"Mask.center.1.inside.Mask.2",0
"40",80,"Mask.center.1.inside.Mask.2",0
"41",120,"Mask.center.1.inside.Mask.2",0.06
"42",120,"Mask.center.1.inside.Mask.2",0
"43",120,"Mask.center.1.inside.Mask.2",0.06
"44",120,"Mask.center.1.inside.Mask.2",0.03
"45",120,"Mask.center.1.inside.Mask.2",0.13
"46",120,"Mask.center.1.inside.Mask.2",0.03
"47",120,"Mask.center.1.inside.Mask.2",0.06
"48",120,"Mask.center.1.inside.Mask.2",0.03
"49",120,"Mask.center.1.inside.Mask.2",0.07
"50",120,"Mask.center.1.inside.Mask.2",0.03
"51",120,"Mask.center.1.inside.Mask.2",0.03
"52",120,"Mask.center.1.inside.Mask.2",0.03
"53",120,"Mask.center.1.inside.Mask.2",0.03
"54",120,"Mask.center.1.inside.Mask.2",0.13
"55",120,"Mask.center.1.inside.Mask.2",0
"56",120,"Mask.center.1.inside.Mask.2",0.06
"57",120,"Mask.center.1.inside.Mask.2",0.13
"58",120,"Mask.center.1.inside.Mask.2",0.07
"59",120,"Mask.center.1.inside.Mask.2",0.15
"60",120,"Mask.center.1.inside.Mask.2",0.14
"61",160,"Mask.center.1.inside.Mask.2",0.2
"62",160,"Mask.center.1.inside.Mask.2",0.3
"63",160,"Mask.center.1.inside.Mask.2",0.16
"64",160,"Mask.center.1.inside.Mask.2",0.03
"65",160,"Mask.center.1.inside.Mask.2",0.28
"66",160,"Mask.center.1.inside.Mask.2",0.27
"67",160,"Mask.center.1.inside.Mask.2",0.19
"68",160,"Mask.center.1.inside.Mask.2",0.26
"69",160,"Mask.center.1.inside.Mask.2",0.13
"70",160,"Mask.center.1.inside.Mask.2",0.14
"71",160,"Mask.center.1.inside.Mask.2",0.27
"72",160,"Mask.center.1.inside.Mask.2",0.21
"73",160,"Mask.center.1.inside.Mask.2",0.11
"74",160,"Mask.center.1.inside.Mask.2",0.15
"75",160,"Mask.center.1.inside.Mask.2",0.06
"76",160,"Mask.center.1.inside.Mask.2",0.19
"77",160,"Mask.center.1.inside.Mask.2",0.13
"78",160,"Mask.center.1.inside.Mask.2",0.19
"79",160,"Mask.center.1.inside.Mask.2",0.18
"80",160,"Mask.center.1.inside.Mask.2",0.35
"81",200,"Mask.center.1.inside.Mask.2",0.29
"82",200,"Mask.center.1.inside.Mask.2",0.11
"83",200,"Mask.center.1.inside.Mask.2",0.28
"84",200,"Mask.center.1.inside.Mask.2",0.31
"85",200,"Mask.center.1.inside.Mask.2",0.24
"86",200,"Mask.center.1.inside.Mask.2",0.26
"87",200,"Mask.center.1.inside.Mask.2",0.38
"88",200,"Mask.center.1.inside.Mask.2",0.23
"89",200,"Mask.center.1.inside.Mask.2",0.22
"90",200,"Mask.center.1.inside.Mask.2",0.45
"91",200,"Mask.center.1.inside.Mask.2",0.29
"92",200,"Mask.center.1.inside.Mask.2",0.37
"93",200,"Mask.center.1.inside.Mask.2",0.24
"94",200,"Mask.center.1.inside.Mask.2",0.16
"95",200,"Mask.center.1.inside.Mask.2",0.24
"96",200,"Mask.center.1.inside.Mask.2",0.24
"97",200,"Mask.center.1.inside.Mask.2",0.25
"98",200,"Mask.center.1.inside.Mask.2",0.29
"99",200,"Mask.center.1.inside.Mask.2",0.28
"100",200,"Mask.center.1.inside.Mask.2",0.13
"101",240,"Mask.center.1.inside.Mask.2",0.2
"102",240,"Mask.center.1.inside.Mask.2",0.27
"103",240,"Mask.center.1.inside.Mask.2",0.13
"104",240,"Mask.center.1.inside.Mask.2",0.38
"105",240,"Mask.center.1.inside.Mask.2",0.47
"106",240,"Mask.center.1.inside.Mask.2",0.13
"107",240,"Mask.center.1.inside.Mask.2",0.19
"108",240,"Mask.center.1.inside.Mask.2",0.08
"109",240,"Mask.center.1.inside.Mask.2",0.17
"110",240,"Mask.center.1.inside.Mask.2",0.35
"111",240,"Mask.center.1.inside.Mask.2",0.16
"112",240,"Mask.center.1.inside.Mask.2",0.24
"113",240,"Mask.center.1.inside.Mask.2",0.2
"114",240,"Mask.center.1.inside.Mask.2",0.33
"115",240,"Mask.center.1.inside.Mask.2",0.3
"116",240,"Mask.center.1.inside.Mask.2",0.28
"117",240,"Mask.center.1.inside.Mask.2",0.17
"118",240,"Mask.center.1.inside.Mask.2",0.06
"119",240,"Mask.center.1.inside.Mask.2",0.15
"120",240,"Mask.center.1.inside.Mask.2",0.22
"121",40,"Ripley.s.K.of.2.coloc..with.1",1
"122",40,"Ripley.s.K.of.2.coloc..with.1",1
"123",40,"Ripley.s.K.of.2.coloc..with.1",1
"124",40,"Ripley.s.K.of.2.coloc..with.1",1
"125",40,"Ripley.s.K.of.2.coloc..with.1",1
"126",40,"Ripley.s.K.of.2.coloc..with.1",1
"127",40,"Ripley.s.K.of.2.coloc..with.1",1
"128",40,"Ripley.s.K.of.2.coloc..with.1",1
"129",40,"Ripley.s.K.of.2.coloc..with.1",1
"130",40,"Ripley.s.K.of.2.coloc..with.1",1
"131",40,"Ripley.s.K.of.2.coloc..with.1",1
"132",40,"Ripley.s.K.of.2.coloc..with.1",1
"133",40,"Ripley.s.K.of.2.coloc..with.1",1
"134",40,"Ripley.s.K.of.2.coloc..with.1",1
"135",40,"Ripley.s.K.of.2.coloc..with.1",1
"136",40,"Ripley.s.K.of.2.coloc..with.1",1
"137",40,"Ripley.s.K.of.2.coloc..with.1",1
"138",40,"Ripley.s.K.of.2.coloc..with.1",1
"139",40,"Ripley.s.K.of.2.coloc..with.1",1
"140",40,"Ripley.s.K.of.2.coloc..with.1",1
"141",80,"Ripley.s.K.of.2.coloc..with.1",1
"142",80,"Ripley.s.K.of.2.coloc..with.1",0.96
"143",80,"Ripley.s.K.of.2.coloc..with.1",0.8
"144",80,"Ripley.s.K.of.2.coloc..with.1",0.79
"145",80,"Ripley.s.K.of.2.coloc..with.1",0.94
"146",80,"Ripley.s.K.of.2.coloc..with.1",0.73
"147",80,"Ripley.s.K.of.2.coloc..with.1",0.83
"148",80,"Ripley.s.K.of.2.coloc..with.1",0.77
"149",80,"Ripley.s.K.of.2.coloc..with.1",1
"150",80,"Ripley.s.K.of.2.coloc..with.1",0.75
"151",80,"Ripley.s.K.of.2.coloc..with.1",1
"152",80,"Ripley.s.K.of.2.coloc..with.1",0.97
"153",80,"Ripley.s.K.of.2.coloc..with.1",1
"154",80,"Ripley.s.K.of.2.coloc..with.1",0.75
"155",80,"Ripley.s.K.of.2.coloc..with.1",0.87
"156",80,"Ripley.s.K.of.2.coloc..with.1",1
"157",80,"Ripley.s.K.of.2.coloc..with.1",1
"158",80,"Ripley.s.K.of.2.coloc..with.1",0.94
"159",80,"Ripley.s.K.of.2.coloc..with.1",1
"160",80,"Ripley.s.K.of.2.coloc..with.1",0.95
"161",120,"Ripley.s.K.of.2.coloc..with.1",0.53
"162",120,"Ripley.s.K.of.2.coloc..with.1",0.25
"163",120,"Ripley.s.K.of.2.coloc..with.1",0.43
"164",120,"Ripley.s.K.of.2.coloc..with.1",0.89
"165",120,"Ripley.s.K.of.2.coloc..with.1",0.4
"166",120,"Ripley.s.K.of.2.coloc..with.1",0.83
"167",120,"Ripley.s.K.of.2.coloc..with.1",0.43
"168",120,"Ripley.s.K.of.2.coloc..with.1",0.76
"169",120,"Ripley.s.K.of.2.coloc..with.1",1
"170",120,"Ripley.s.K.of.2.coloc..with.1",0.99
"171",120,"Ripley.s.K.of.2.coloc..with.1",1
"172",120,"Ripley.s.K.of.2.coloc..with.1",0.77
"173",120,"Ripley.s.K.of.2.coloc..with.1",0.84
"174",120,"Ripley.s.K.of.2.coloc..with.1",0.97
"175",120,"Ripley.s.K.of.2.coloc..with.1",1
"176",120,"Ripley.s.K.of.2.coloc..with.1",0.34
"177",120,"Ripley.s.K.of.2.coloc..with.1",0.61
"178",120,"Ripley.s.K.of.2.coloc..with.1",0.62
"179",120,"Ripley.s.K.of.2.coloc..with.1",1
"180",120,"Ripley.s.K.of.2.coloc..with.1",0.28
"181",160,"Ripley.s.K.of.2.coloc..with.1",0.4
"182",160,"Ripley.s.K.of.2.coloc..with.1",0.74
"183",160,"Ripley.s.K.of.2.coloc..with.1",0.39
"184",160,"Ripley.s.K.of.2.coloc..with.1",0.54
"185",160,"Ripley.s.K.of.2.coloc..with.1",0.44
"186",160,"Ripley.s.K.of.2.coloc..with.1",0.66
"187",160,"Ripley.s.K.of.2.coloc..with.1",0.28
"188",160,"Ripley.s.K.of.2.coloc..with.1",0.39
"189",160,"Ripley.s.K.of.2.coloc..with.1",0.36
"190",160,"Ripley.s.K.of.2.coloc..with.1",0.38
"191",160,"Ripley.s.K.of.2.coloc..with.1",0.48
"192",160,"Ripley.s.K.of.2.coloc..with.1",0.75
"193",160,"Ripley.s.K.of.2.coloc..with.1",0.5
"194",160,"Ripley.s.K.of.2.coloc..with.1",0.47
"195",160,"Ripley.s.K.of.2.coloc..with.1",1
"196",160,"Ripley.s.K.of.2.coloc..with.1",0.49
"197",160,"Ripley.s.K.of.2.coloc..with.1",0.54
"198",160,"Ripley.s.K.of.2.coloc..with.1",0.39
"199",160,"Ripley.s.K.of.2.coloc..with.1",0.35
"200",160,"Ripley.s.K.of.2.coloc..with.1",0.67
"201",200,"Ripley.s.K.of.2.coloc..with.1",0.46
"202",200,"Ripley.s.K.of.2.coloc..with.1",0.99
"203",200,"Ripley.s.K.of.2.coloc..with.1",0.52
"204",200,"Ripley.s.K.of.2.coloc..with.1",0.39
"205",200,"Ripley.s.K.of.2.coloc..with.1",0.79
"206",200,"Ripley.s.K.of.2.coloc..with.1",1
"207",200,"Ripley.s.K.of.2.coloc..with.1",1
"208",200,"Ripley.s.K.of.2.coloc..with.1",0.49
"209",200,"Ripley.s.K.of.2.coloc..with.1",1
"210",200,"Ripley.s.K.of.2.coloc..with.1",0.49
"211",200,"Ripley.s.K.of.2.coloc..with.1",0.78
"212",200,"Ripley.s.K.of.2.coloc..with.1",1
"213",200,"Ripley.s.K.of.2.coloc..with.1",0.57
"214",200,"Ripley.s.K.of.2.coloc..with.1",0.58
"215",200,"Ripley.s.K.of.2.coloc..with.1",0.46
"216",200,"Ripley.s.K.of.2.coloc..with.1",0.83
"217",200,"Ripley.s.K.of.2.coloc..with.1",0.43
"218",200,"Ripley.s.K.of.2.coloc..with.1",0.62
"219",200,"Ripley.s.K.of.2.coloc..with.1",0.99
"220",200,"Ripley.s.K.of.2.coloc..with.1",0.33
"221",240,"Ripley.s.K.of.2.coloc..with.1",1
"222",240,"Ripley.s.K.of.2.coloc..with.1",0.75
"223",240,"Ripley.s.K.of.2.coloc..with.1",1
"224",240,"Ripley.s.K.of.2.coloc..with.1",0.61
"225",240,"Ripley.s.K.of.2.coloc..with.1",1
"226",240,"Ripley.s.K.of.2.coloc..with.1",0.83
"227",240,"Ripley.s.K.of.2.coloc..with.1",1
"228",240,"Ripley.s.K.of.2.coloc..with.1",0.84
"229",240,"Ripley.s.K.of.2.coloc..with.1",0.92
"230",240,"Ripley.s.K.of.2.coloc..with.1",1
"231",240,"Ripley.s.K.of.2.coloc..with.1",1
"232",240,"Ripley.s.K.of.2.coloc..with.1",0.85
"233",240,"Ripley.s.K.of.2.coloc..with.1",0.77
"234",240,"Ripley.s.K.of.2.coloc..with.1",1
"235",240,"Ripley.s.K.of.2.coloc..with.1",0.79
"236",240,"Ripley.s.K.of.2.coloc..with.1",0.99
"237",240,"Ripley.s.K.of.2.coloc..with.1",0.82
"238",240,"Ripley.s.K.of.2.coloc..with.1",0.52
"239",240,"Ripley.s.K.of.2.coloc..with.1",1
"240",240,"Ripley.s.K.of.2.coloc..with.1",1
"241",40,"SODA.of.2.coloc..with.1",1.29
"242",40,"SODA.of.2.coloc..with.1",1.12
"243",40,"SODA.of.2.coloc..with.1",1.29
"244",40,"SODA.of.2.coloc..with.1",1.07
"245",40,"SODA.of.2.coloc..with.1",1.16
"246",40,"SODA.of.2.coloc..with.1",1.16
"247",40,"SODA.of.2.coloc..with.1",1.21
"248",40,"SODA.of.2.coloc..with.1",1.21
"249",40,"SODA.of.2.coloc..with.1",1.22
"250",40,"SODA.of.2.coloc..with.1",1.04
"251",40,"SODA.of.2.coloc..with.1",1.28
"252",40,"SODA.of.2.coloc..with.1",1.15
"253",40,"SODA.of.2.coloc..with.1",1.17
"254",40,"SODA.of.2.coloc..with.1",1.3
"255",40,"SODA.of.2.coloc..with.1",1.16
"256",40,"SODA.of.2.coloc..with.1",1.27
"257",40,"SODA.of.2.coloc..with.1",0.95
"258",40,"SODA.of.2.coloc..with.1",1.26
"259",40,"SODA.of.2.coloc..with.1",1.21
"260",40,"SODA.of.2.coloc..with.1",1.07
"261",80,"SODA.of.2.coloc..with.1",0.92
"262",80,"SODA.of.2.coloc..with.1",0.95
"263",80,"SODA.of.2.coloc..with.1",0.67
"264",80,"SODA.of.2.coloc..with.1",0.8
"265",80,"SODA.of.2.coloc..with.1",0.84
"266",80,"SODA.of.2.coloc..with.1",0.72
"267",80,"SODA.of.2.coloc..with.1",0.85
"268",80,"SODA.of.2.coloc..with.1",0.56
"269",80,"SODA.of.2.coloc..with.1",0.88
"270",80,"SODA.of.2.coloc..with.1",0.73
"271",80,"SODA.of.2.coloc..with.1",0.7
"272",80,"SODA.of.2.coloc..with.1",0.64
"273",80,"SODA.of.2.coloc..with.1",0.67
"274",80,"SODA.of.2.coloc..with.1",0.69
"275",80,"SODA.of.2.coloc..with.1",0.89
"276",80,"SODA.of.2.coloc..with.1",0.88
"277",80,"SODA.of.2.coloc..with.1",0.84
"278",80,"SODA.of.2.coloc..with.1",0.92
"279",80,"SODA.of.2.coloc..with.1",0.96
"280",80,"SODA.of.2.coloc..with.1",0.8
"281",120,"SODA.of.2.coloc..with.1",0.51
"282",120,"SODA.of.2.coloc..with.1",0.56
"283",120,"SODA.of.2.coloc..with.1",0.43
"284",120,"SODA.of.2.coloc..with.1",0.57
"285",120,"SODA.of.2.coloc..with.1",0.48
"286",120,"SODA.of.2.coloc..with.1",0.37
"287",120,"SODA.of.2.coloc..with.1",0.39
"288",120,"SODA.of.2.coloc..with.1",0.7
"289",120,"SODA.of.2.coloc..with.1",0.55
"290",120,"SODA.of.2.coloc..with.1",0.56
"291",120,"SODA.of.2.coloc..with.1",0.54
"292",120,"SODA.of.2.coloc..with.1",0.46
