"","class","no_pic","t","OTC"
"1","sparse_structure_10",1,0,0.14947122
"2","sparse_structure_10",1,15,0.499104144
"3","sparse_structure_10",1,30,0.797219605
"4","sparse_structure_10",1,45,0.949172637
"5","sparse_structure_10",1,60,0.989561774
"6","sparse_structure_10",1,75,0.998683299
"7","sparse_structure_10",1,90,0.999921771
"8","sparse_structure_10",1,105,1
"9","sparse_structure_10",1,120,1
"10","sparse_structure_10",1,135,1
"11","sparse_structure_10",1,150,1
"12","sparse_structure_10",1,165,1
"13","sparse_structure_10",1,180,1
"14","sparse_structure_10",1,195,1
"15","sparse_structure_10",1,210,1
"16","sparse_structure_10",1,225,1
"17","sparse_structure_10",1,240,1
"18","sparse_structure_10",1,255,1
"19","sparse_structure_10",1,270,1
"20","sparse_structure_10",1,285,1
"21","sparse_structure_10",1,300,1
"22","sparse_structure_10",1,315,1
"23","sparse_structure_10",1,330,1
"24","sparse_structure_10",1,345,1
"25","sparse_structure_10",1,360,1
"26","sparse_structure_10",1,375,1
"27","sparse_structure_10",1,390,1
"28","sparse_structure_10",1,405,1
"29","sparse_structure_10",1,420,1
"30","sparse_structure_10",1,435,1
"31","sparse_structure_10",1,450,1
"32","sparse_structure_10",1,465,1
"33","sparse_structure_10",1,480,1
"34","sparse_structure_10",1,495,1
"35","sparse_structure_10",1,510,1
"36","sparse_structure_10",1,525,1
"37","sparse_structure_10",1,540,1
"38","sparse_structure_10",1,555,1
"39","sparse_structure_10",1,570,1
"40","sparse_structure_10",1,585,1
"41","sparse_structure_10",1,600,1
"42","sparse_structure_10",1,615,1
"43","sparse_structure_10",1,630,1
"44","sparse_structure_10",1,645,1
"45","sparse_structure_10",1,660,1
"46","sparse_structure_10",1,675,1
"47","sparse_structure_10",1,690,1
"48","sparse_structure_10",1,705,1
"49","sparse_structure_10",1,720,1
"50","sparse_structure_10",1,735,1
"51","sparse_structure_10",1,750,1
"52","sparse_structure_10",1,765,1
"53","sparse_structure_10",1,780,1
"54","sparse_structure_10",1,795,1
"55","sparse_structure_10",1,810,1
"56","sparse_structure_10",1,825,1
"57","sparse_structure_10",1,840,1
"58","sparse_structure_10",1,855,1
"59","sparse_structure_10",1,870,1
"60","sparse_structure_10",1,885,1
"61","sparse_structure_10",1,900,1
"62","sparse_structure_10",1,915,1
"63","sparse_structure_10",1,930,1
"64","sparse_structure_10",1,945,1
"65","sparse_structure_10",1,960,1
"66","sparse_structure_10",1,975,1
"67","sparse_structure_10",1,990,1
"68","sparse_structure_10",1,1005,1
"69","sparse_structure_10",1,1020,1
"70","sparse_structure_10",1,1035,1
"71","sparse_structure_10",1,1050,1
"72","sparse_structure_10",1,1065,1
"73","sparse_structure_10",1,1080,1
"74","sparse_structure_10",1,1095,1
"75","sparse_structure_10",1,1110,1
"76","sparse_structure_10",1,1125,1
"77","sparse_structure_10",1,1140,1
"78","sparse_structure_10",1,1155,1
"79","sparse_structure_10",1,1170,1
"80","sparse_structure_10",1,1185,1
"81","sparse_structure_10",1,1200,1
"82","sparse_structure_10",1,1215,1
"83","sparse_structure_10",1,1230,1
"84","sparse_structure_10",1,1245,1
"85","sparse_structure_10",1,1260,1
"86","sparse_structure_10",1,1275,1
"87","sparse_structure_10",1,1290,1
"88","sparse_structure_10",1,1305,1
"89","sparse_structure_10",1,1320,1
"90","sparse_structure_10",1,1335,1
"91","sparse_structure_10",1,1350,1
"92","sparse_structure_10",2,0,0.168862402
"93","sparse_structure_10",2,15,0.517456776
"94","sparse_structure_10",2,30,0.779618912
"95","sparse_structure_10",2,45,0.929595239
"96","sparse_structure_10",2,60,0.977431027
"97","sparse_structure_10",2,75,0.994128392
"98","sparse_structure_10",2,90,0.999573987
"99","sparse_structure_10",2,105,1
"100","sparse_structure_10",2,120,1
"101","sparse_structure_10",2,135,1
"102","sparse_structure_10",2,150,1
"103","sparse_structure_10",2,165,1
"104","sparse_structure_10",2,180,1
"105","sparse_structure_10",2,195,1
"106","sparse_structure_10",2,210,1
"107","sparse_structure_10",2,225,1
"108","sparse_structure_10",2,240,1
"109","sparse_structure_10",2,255,1
"110","sparse_structure_10",2,270,1
"111","sparse_structure_10",2,285,1
"112","sparse_structure_10",2,300,1
"113","sparse_structure_10",2,315,1
"114","sparse_structure_10",2,330,1
"115","sparse_structure_10",2,345,1
"116","sparse_structure_10",2,360,1
"117","sparse_structure_10",2,375,1
"118","sparse_structure_10",2,390,1
"119","sparse_structure_10",2,405,1
"120","sparse_structure_10",2,420,1
"121","sparse_structure_10",2,435,1
"122","sparse_structure_10",2,450,1
"123","sparse_structure_10",2,465,1
"124","sparse_structure_10",2,480,1
"125","sparse_structure_10",2,495,1
"126","sparse_structure_10",2,510,1
"127","sparse_structure_10",2,525,1
"128","sparse_structure_10",2,540,1
"129","sparse_structure_10",2,555,1
"130","sparse_structure_10",2,570,1
"131","sparse_structure_10",2,585,1
"132","sparse_structure_10",2,600,1
"133","sparse_structure_10",2,615,1
"134","sparse_structure_10",2,630,1
"135","sparse_structure_10",2,645,1
"136","sparse_structure_10",2,660,1
"137","sparse_structure_10",2,675,1
"138","sparse_structure_10",2,690,1
"139","sparse_structure_10",2,705,1
"140","sparse_structure_10",2,720,1
"141","sparse_structure_10",2,735,1
"142","sparse_structure_10",2,750,1
"143","sparse_structure_10",2,765,1
"144","sparse_structure_10",2,780,1
"145","sparse_structure_10",2,795,1
"146","sparse_structure_10",2,810,1
"147","sparse_structure_10",2,825,1
"148","sparse_structure_10",2,840,1
"149","sparse_structure_10",2,855,1
"150","sparse_structure_10",2,870,1
"151","sparse_structure_10",2,885,1
"152","sparse_structure_10",2,900,1
"153","sparse_structure_10",2,915,1
"154","sparse_structure_10",2,930,1
"155","sparse_structure_10",2,945,1
"156","sparse_structure_10",2,960,1
"157","sparse_structure_10",2,975,1
"158","sparse_structure_10",2,990,1
"159","sparse_structure_10",2,1005,1
"160","sparse_structure_10",2,1020,1
"161","sparse_structure_10",2,1035,1
"162","sparse_structure_10",2,1050,1
"163","sparse_structure_10",2,1065,1
"164","sparse_structure_10",2,1080,1
"165","sparse_structure_10",2,1095,1
"166","sparse_structure_10",2,1110,1
"167","sparse_structure_10",2,1125,1
"168","sparse_structure_10",2,1140,1
"169","sparse_structure_10",2,1155,1
"170","sparse_structure_10",2,1170,1
"171","sparse_structure_10",2,1185,1
"172","sparse_structure_10",2,1200,1
"173","sparse_structure_10",2,1215,1
"174","sparse_structure_10",2,1230,1
"175","sparse_structure_10",2,1245,1
"176","sparse_structure_10",2,1260,1
"177","sparse_structure_10",2,1275,1
"178","sparse_structure_10",2,1290,1
"179","sparse_structure_10",2,1305,1
"180","sparse_structure_10",2,1320,1
"181","sparse_structure_10",2,1335,1
"182","sparse_structure_10",2,1350,1
"183","sparse_structure_10",3,0,0.161235294
"184","sparse_structure_10",3,15,0.486428694
"185","sparse_structure_10",3,30,0.784128447
"186","sparse_structure_10",3,45,0.947557377
"187","sparse_structure_10",3,60,0.986561366
"188","sparse_structure_10",3,75,0.997935431
"189","sparse_structure_10",3,90,0.999710784
"190","sparse_structure_10",3,105,1
"191","sparse_structure_10",3,120,1
"192","sparse_structure_10",3,135,1
"193","sparse_structure_10",3,150,1
"194","sparse_structure_10",3,165,1
