"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"1",10,0,0.66,0.42
"2",10,0,0.54,0.46
"3",10,0.02,0.53,0.28
"4",10,0.03,0.58,0.45
"5",10,0,0.51,0.3
"6",10,0,1,0.4
"7",10,0.02,0.69,0.41
"8",10,0.04,0.86,0.57
"9",10,0.02,0.7,0.39
"10",10,0.02,0.47,0.5
"11",10,0.03,1,0.31
"12",10,0,0.5,0.33
"13",10,0,0.31,0.31
"14",10,0,0.3,0.38
"15",10,0.02,0.73,0.36
"16",10,0.05,1,0.56
"17",10,0.02,0.89,0.51
"18",10,0.06,1,0.42
"19",10,0.08,0.83,0.58
"20",10,0.04,0.85,0.59
"21",20,0.04,0.41,0.31
"22",20,0.01,0.55,0.41
"23",20,0.03,0.37,0.32
"24",20,0.04,0.61,0.32
"25",20,0.05,0.48,0.44
"26",20,0.02,0.84,0.43
"27",20,0.07,0.91,0.48
"28",20,0.02,0.52,0.39
"29",20,0,0.39,0.36
"30",20,0.02,0.63,0.4
"31",20,0.04,0.4,0.22
"32",20,0,0.33,0.36
"33",20,0,0.98,0.34
"34",20,0.03,0.34,0.16
"35",20,0.06,0.54,0.26
"36",20,0.04,1,0.54
"37",20,0.03,1,0.63
"38",20,0.02,0.98,0.56
"39",20,0.05,0.91,0.62
"40",20,0.05,1,0.59
"41",30,0,0.42,0.27
"42",30,0.02,0.65,0.37
"43",30,0.04,0.43,0.39
"44",30,0.02,0.49,0.38
"45",30,0.06,1,0.6
"46",30,0.04,0.88,0.57
"47",30,0.06,0.99,0.68
"48",30,0,0.65,0.43
"49",30,0.06,0.54,0.49
"50",30,0.04,0.96,0.47
"51",30,0.03,0.51,0.38
"52",30,0,0.25,0.32
"53",30,0.01,0.48,0.32
"54",30,0.02,0.49,0.38
"55",30,0.05,0.24,0.19
"56",30,0,1,0.76
"57",30,0.07,0.85,0.43
"58",30,0.02,1,0.71
