"","coefficients","meanvalue","standarderror","truecoloc"
"1","ICCS M1",0.183561669520295,0.0130067688499592,0.1
"2","ICCS M2",0.186421455459548,0.0118047155937697,0.1
"3","LI (DeBias)",0.091849350215006,0.00691086445277277,0.1
"4","Mander's M1",0.540878443387749,0.102099114695446,0.1
"5","Mander's M2",0.542051686230945,0.10234731239225,0.1
"6","Pearson's Corr.",0.184777251274098,0.0122455293785725,0.1
"7","Pearson's with tresh.",0.154628286764095,0.0135801705067446,0.1
"8","Thresholded Overlap Coeff ch1",0.11621,0.0108778212311493,0.1
"9","Thresholded Overlap Coeff ch2",0.11244,0.0137274128355599,0.1
"10","ICCS M1",0.204768793328078,0.0115471318997158,0.2
"11","ICCS M2",0.209989868744658,0.014453714078349,0.2
"12","LI (DeBias)",0.10191664565218,0.00659916208803161,0.2
"13","Mander's M1",0.645278382097982,0.0995896332398577,0.2
"14","Mander's M2",0.648407714620341,0.100176763520757,0.2
"15","Pearson's Corr.",0.20716994547149,0.0128460937575441,0.2
"16","Pearson's with tresh.",0.187043987809026,0.0146633468024607,0.2
"17","Thresholded Overlap Coeff ch1",0.11763,0.0130458928806208,0.2
"18","Thresholded Overlap Coeff ch2",0.13963,0.0148313272643096,0.2
"19","ICCS M1",0.223978070104443,0.0109826768990552,0.3
"20","ICCS M2",0.223560283253535,0.0121317081565866,0.3
"21","LI (DeBias)",0.0992180513983017,0.00636031655573341,0.3
"22","Mander's M1",0.553140929807391,0.103378349952476,0.3
"23","Mander's M2",0.554819553067796,0.10328869042863,0.3
"24","Pearson's Corr.",0.223538662559474,0.0113580278422423,0.3
"25","Pearson's with tresh.",0.194739247694198,0.0116979812800704,0.3
"26","Thresholded Overlap Coeff ch1",0.131615,0.0101742173499592,0.3
"27","Thresholded Overlap Coeff ch2",0.154255,0.0107240837542618,0.3
"28","ICCS M1",0.258203990682706,0.0118728137458138,0.4
"29","ICCS M2",0.254969801244027,0.0119886149939883,0.4
"30","LI (DeBias)",0.0989509935083507,0.0042329054054661,0.4
"31","Mander's M1",0.758636673110605,0.0808459626664378,0.4
"32","Mander's M2",0.758776682111641,0.0807111241024477,0.4
"33","Pearson's Corr.",0.256084820652687,0.0113266894885411,0.4
"34","Pearson's with tresh.",0.225822943378918,0.0120061577600742,0.4
"35","Thresholded Overlap Coeff ch1",0.169405,0.0115649299153678,0.4
"36","Thresholded Overlap Coeff ch2",0.190145,0.0175102458352396,0.4
"37","ICCS M1",0.278551242282761,0.0118170198591348,0.5
"38","ICCS M2",0.278722329873131,0.0104658873928377,0.5
"39","LI (DeBias)",0.110648184261898,0.00597944288487512,0.5
"40","Mander's M1",0.728727476079734,0.0894208571992518,0.5
"41","Mander's M2",0.731198669348604,0.0897515266344519,0.5
"42","Pearson's Corr.",0.27814288563105,0.0104646346396247,0.5
"43","Pearson's with tresh.",0.25143616135005,0.0124784433185582,0.5
"44","Thresholded Overlap Coeff ch1",0.155765,0.0124734017539639,0.5
"45","Thresholded Overlap Coeff ch2",0.16143,0.0164620410258522,0.5
"46","ICCS M1",0.293754653217234,0.011614525338409,0.6
"47","ICCS M2",0.285719155210086,0.0107604844639831,0.6
"48","LI (DeBias)",0.119309284705594,0.00697494493631194,0.6
"49","Mander's M1",0.637365752625427,0.097577240536028,0.6
"50","Mander's M2",0.638905166434018,0.0976755419634262,0.6
"51","Pearson's Corr.",0.289331245338112,0.0106676457038599,0.6
"52","Pearson's with tresh.",0.257923852589425,0.0123169081838816,0.6
"53","Thresholded Overlap Coeff ch1",0.16454,0.0214611379499146,0.6
"54","Thresholded Overlap Coeff ch2",0.206565,0.0136336392697197,0.6
"55","ICCS M1",0.312877549605239,0.0132839354902821,0.7
"56","ICCS M2",0.32312513248247,0.014635281885936,0.7
"57","LI (DeBias)",0.12437156960135,0.00490218414395009,0.7
"58","Mander's M1",0.774228412317206,0.0822050203734849,0.7
"59","Mander's M2",0.766606563514383,0.0815662267104848,0.7
"60","Pearson's Corr.",0.317509039813516,0.0132834126807581,0.7
"61","Pearson's with tresh.",0.285335081988355,0.0151666982600073,0.7
"62","Thresholded Overlap Coeff ch1",0.185395,0.0205933426582987,0.7
"63","Thresholded Overlap Coeff ch2",0.187705,0.0145558696335696,0.7
"64","ICCS M1",0.335754062897685,0.0100263120646517,0.8
"65","ICCS M2",0.339095142065662,0.00986184116360281,0.8
"66","LI (DeBias)",0.124050721499556,0.00586740050419573,0.8
"67","Mander's M1",0.687479404164868,0.0940011390873447,0.8
"68","Mander's M2",0.689180862251614,0.0940694278115295,0.8
"69","Pearson's Corr.",0.33710925732528,0.00937935956078599,0.8
"70","Pearson's with tresh.",0.302914087255141,0.0120142110717179,0.8
"71","Thresholded Overlap Coeff ch1",0.16714,0.0171811163168968,0.8
"72","Thresholded Overlap Coeff ch2",0.16308,0.0136718469856856,0.8
"73","ICCS M1",0.370755578042899,0.0112624673263822,0.9
"74","ICCS M2",0.362468860236298,0.011428812756331,0.9
"75","LI (DeBias)",0.134744291190118,0.00508007429368663,0.9
"76","Mander's M1",0.85979936934444,0.0616326577918266,0.9
"77","Mander's M2",0.862245128545787,0.0616345731862612,0.9
"78","Pearson's Corr.",0.365986376863373,0.0102626027744021,0.9
"79","Pearson's with tresh.",0.33321043535391,0.011587848360573,0.9
"80","Thresholded Overlap Coeff ch1",0.205015,0.013928791225372,0.9
"81","Thresholded Overlap Coeff ch2",0.244085,0.0240062319485675,0.9
