"","class","no_pic","t","OTC"
"1","Tom40_Cbp3",1,0,0.013341009
"2","Tom40_Cbp3",1,15,0.054273586
"3","Tom40_Cbp3",1,30,0.127798538
"4","Tom40_Cbp3",1,45,0.242711218
"5","Tom40_Cbp3",1,60,0.340457007
"6","Tom40_Cbp3",1,75,0.453029232
"7","Tom40_Cbp3",1,90,0.521546835
"8","Tom40_Cbp3",1,105,0.570910132
"9","Tom40_Cbp3",1,120,0.615976302
"10","Tom40_Cbp3",1,135,0.657287868
"11","Tom40_Cbp3",1,150,0.705688289
"12","Tom40_Cbp3",1,165,0.733172427
"13","Tom40_Cbp3",1,180,0.76737122
"14","Tom40_Cbp3",1,195,0.804213395
"15","Tom40_Cbp3",1,210,0.829510228
"16","Tom40_Cbp3",1,225,0.866920461
"17","Tom40_Cbp3",1,240,0.893254779
"18","Tom40_Cbp3",1,255,0.915693771
"19","Tom40_Cbp3",1,270,0.93455291
"20","Tom40_Cbp3",1,285,0.952611284
"21","Tom40_Cbp3",1,300,0.962191741
"22","Tom40_Cbp3",1,315,0.965564292
"23","Tom40_Cbp3",1,330,0.967871153
"24","Tom40_Cbp3",1,345,0.969577632
"25","Tom40_Cbp3",1,360,0.970652552
"26","Tom40_Cbp3",1,375,0.971564427
"27","Tom40_Cbp3",1,390,0.972395537
"28","Tom40_Cbp3",1,405,0.973231612
"29","Tom40_Cbp3",1,420,0.974003686
"30","Tom40_Cbp3",1,435,0.974518243
"31","Tom40_Cbp3",1,450,0.975052533
"32","Tom40_Cbp3",1,465,0.975585341
"33","Tom40_Cbp3",1,480,0.97633933
"34","Tom40_Cbp3",1,495,0.977189812
"35","Tom40_Cbp3",1,510,0.977933064
"36","Tom40_Cbp3",1,525,0.979055908
"37","Tom40_Cbp3",1,540,0.979678389
"38","Tom40_Cbp3",1,555,0.980556813
"39","Tom40_Cbp3",1,570,0.981045041
"40","Tom40_Cbp3",1,585,0.981630538
"41","Tom40_Cbp3",1,600,0.98210003
"42","Tom40_Cbp3",1,615,0.982752842
"43","Tom40_Cbp3",1,630,0.983497338
"44","Tom40_Cbp3",1,645,0.984149042
