"","x"
"fill1","#F8766D"
"fill2","#C49A00"
"fill3","#53B400"
"fill4","#00C094"
"fill5","#00B6EB"
"fill6","#A58AFF"
"fill7","#FB61D7"
"fill8","#F8766D"
"fill9","#C49A00"
"fill10","#53B400"
"fill11","#00C094"
"fill12","#00B6EB"
"fill13","#A58AFF"
"fill14","#FB61D7"
"fill15","#F8766D"
"fill16","#C49A00"
"fill17","#53B400"
"fill18","#00C094"
"fill19","#00B6EB"
"fill20","#A58AFF"
"fill21","#FB61D7"
"fill22","#F8766D"
"fill23","#C49A00"
"fill24","#53B400"
"fill25","#00C094"
"fill26","#00B6EB"
"fill27","#A58AFF"
"fill28","#FB61D7"
"ymin1","0.448759"
"ymin2","0.803954"
"ymin3","0.474459"
"ymin4","0.558742"
"ymin5","0.05"
"ymin6","0.81"
"ymin7","0.36"
"ymin8","0.195357"
"ymin9","0.199279"
"ymin10","0.107398"
"ymin11","-0.222146"
"ymin12","0.05"
"ymin13","0.33"
"ymin14","0.34"
"ymin15","0.59886"
"ymin16","0.441289"
"ymin17","0.640817"
"ymin18","0.505972"
"ymin19","0.09"
"ymin20","0.59"
"ymin21","0.42"
"ymin22","0.165721"
"ymin23","0.277688"
"ymin24","-0.16505"
"ymin25","-0.0910465"
"ymin26","0.16"
"ymin27","0.55"
"ymin28","0.58"
"lower1","0.448759"
"lower2","0.803954"
"lower3","0.474459"
"lower4","0.558742"
"lower5","0.07"
"lower6","0.88"
"lower7","0.48"
"lower8","0.195357"
"lower9","0.199279"
"lower10","0.107398"
"lower11","-0.222146"
"lower12","0.0725"
"lower13","0.44"
"lower14","0.3825"
"lower15","0.59886"
"lower16","0.441289"
"lower17","0.640817"
"lower18","0.505972"
"lower19","0.1025"
"lower20","0.6825"
"lower21","0.51"
"lower22","0.165721"
"lower23","0.277688"
"lower24","-0.16505"
"lower25","-0.0910465"
"lower26","0.2"
"lower27","0.765"
"lower28","0.585"
"middle1","0.448759"
"middle2","0.803954"
"middle3","0.474459"
"middle4","0.558742"
"middle5","0.08"
"middle6","0.99"
"middle7","0.52"
"middle8","0.195357"
"middle9","0.199279"
"middle10","0.107398"
"middle11","-0.222146"
"middle12","0.1"
"middle13","0.82"
"middle14","0.42"
"middle15","0.59886"
