"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"1","Tom40_Mrpl4",0.06,1,0.65
"2","Tom40_Mrpl4",0.11,1,0.52
"3","Tom40_Mrpl4",0.07,0.5,0.4
"4","Tom40_Mrpl4",0.07,0.94,0.48
"5","Tom40_Mrpl4",0.14,0.98,0.48
"6","Tom40_Mrpl4",0.13,1,0.63
"7","Tom40_Mrpl4",0.14,1,0.62
"8","Tom40_Mrpl4",0.07,1,0.77
"9","Tom40_Mrpl4",0.09,0.81,0.52
"10","Tom40_Mrpl4",0.05,0.86,0.36
"11","Tom40_Cbp3",0.05,1,0.61
"12","Tom40_Cbp3",0.07,0.33,0.28
"13","Tom40_Cbp3",0.12,0.99,0.45
"14","Tom40_Cbp3",0.09,0.35,0.38
"15","Tom40_Cbp3",0.07,0.59,0.44
"16","Tom40_Cbp3",0.11,0.71,0.34
"17","Tom40_Cbp3",0.13,0.93,0.42
"18","Tom40_Cbp3",0.08,0.39,0.42
"19","Tom40_Cbp3",0.89,1,0.99
"20","Tom40_Cbp3",0.14,0.99,0.39
"21","Tom40_Tom20",0.12,0.59,0.53
"22","Tom40_Tom20",0.11,0.97,0.48
"23","Tom40_Tom20",0.1,0.6,0.51
"24","Tom40_Tom20",0.84,0.98,0.97
"25","Tom40_Tom20",0.04,0.97,0.64
"26","Tom40_Tom20",0.11,0.83,0.54
"27","Tom40_Tom20",0.2,0.8,0.51
"28","Tom40_Tom20",0.11,0.68,0.62
"29","Tom40_Tom20",0.09,0.98,0.54
"30","Tom40_Tom20",0.12,0.69,0.42
"31","Tom40_Tom40",0.2,0.91,0.62
"32","Tom40_Tom40",0.16,1,0.63
"33","Tom40_Tom40",0.23,0.9,0.64
"34","Tom40_Tom40",0.22,1,0.65
"35","Tom40_Tom40",0.2,0.78,0.73
"36","Tom40_Tom40",0.25,0.75,0.58
"37","Tom40_Tom40",0.19,0.55,0.49
"38","Tom40_Tom40",0.32,0.97,0.69
"39","Tom40_Tom40",0.24,0.79,0.6
"40","Tom40_Tom40",0.24,0.76,0.58
