"","Picture","method","value"
"1","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.06
"2","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.11
"3","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.07
"4","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.07
"5","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.14
"6","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.13
"7","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.14
"8","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.07
"9","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.09
"10","Tom40_Mrpl4","Mask.center.1.inside.Mask.2",0.05
"11","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.05
"12","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.07
"13","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.12
"14","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.09
"15","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.07
"16","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.11
"17","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.13
"18","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.08
"19","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.89
"20","Tom40_Cbp3","Mask.center.1.inside.Mask.2",0.14
"21","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.12
"22","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.11
"23","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.1
"24","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.84
"25","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.04
"26","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.11
"27","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.2
"28","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.11
"29","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.09
"30","Tom40_Tom20","Mask.center.1.inside.Mask.2",0.12
"31","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.2
"32","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.16
"33","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.23
"34","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.22
"35","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.2
"36","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.25
"37","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.19
"38","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.32
"39","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.24
"40","Tom40_Tom40","Mask.center.1.inside.Mask.2",0.24
"41","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",1
"42","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",1
"43","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",0.5
"44","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",0.94
"45","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",0.98
"46","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",1
"47","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",1
"48","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",1
"49","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",0.81
"50","Tom40_Mrpl4","Ripley.s.K.of.2.coloc..with.1",0.86
"51","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",1
"52","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",0.33
"53","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",0.99
"54","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",0.35
"55","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",0.59
"56","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",0.71
"57","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",0.93
"58","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",0.39
"59","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",1
"60","Tom40_Cbp3","Ripley.s.K.of.2.coloc..with.1",0.99
"61","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.59
"62","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.97
"63","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.6
"64","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.98
"65","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.97
"66","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.83
"67","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.8
"68","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.68
"69","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.98
"70","Tom40_Tom20","Ripley.s.K.of.2.coloc..with.1",0.69
"71","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",0.91
"72","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",1
"73","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",0.9
"74","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",1
"75","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",0.78
"76","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",0.75
"77","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",0.55
"78","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",0.97
"79","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",0.79
"80","Tom40_Tom40","Ripley.s.K.of.2.coloc..with.1",0.76
"81","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.65
"82","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.52
"83","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.4
"84","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.48
"85","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.48
"86","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.63
"87","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.62
"88","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.77
"89","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.52
"90","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.36
"91","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.61
"92","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.28
"93","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.45
"94","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.38
"95","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.44
"96","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.34
"97","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.42
"98","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.42
"99","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.99
"100","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.39
"101","Tom40_Tom20","SODA.of.2.coloc..with.1",0.53
"102","Tom40_Tom20","SODA.of.2.coloc..with.1",0.48
"103","Tom40_Tom20","SODA.of.2.coloc..with.1",0.51
"104","Tom40_Tom20","SODA.of.2.coloc..with.1",0.97
"105","Tom40_Tom20","SODA.of.2.coloc..with.1",0.64
"106","Tom40_Tom20","SODA.of.2.coloc..with.1",0.54
"107","Tom40_Tom20","SODA.of.2.coloc..with.1",0.51
"108","Tom40_Tom20","SODA.of.2.coloc..with.1",0.62
"109","Tom40_Tom20","SODA.of.2.coloc..with.1",0.54
"110","Tom40_Tom20","SODA.of.2.coloc..with.1",0.42
"111","Tom40_Tom40","SODA.of.2.coloc..with.1",0.62
"112","Tom40_Tom40","SODA.of.2.coloc..with.1",0.63
"113","Tom40_Tom40","SODA.of.2.coloc..with.1",0.64
"114","Tom40_Tom40","SODA.of.2.coloc..with.1",0.65
"115","Tom40_Tom40","SODA.of.2.coloc..with.1",0.73
"116","Tom40_Tom40","SODA.of.2.coloc..with.1",0.58
"117","Tom40_Tom40","SODA.of.2.coloc..with.1",0.49
"118","Tom40_Tom40","SODA.of.2.coloc..with.1",0.69
"119","Tom40_Tom40","SODA.of.2.coloc..with.1",0.6
"120","Tom40_Tom40","SODA.of.2.coloc..with.1",0.58
"121","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"122","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"123","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
