"","x"
"fill1","#F8766D"
"fill2","#D39200"
"fill3","#93AA00"
"fill4","#00BA38"
"fill5","#00C19F"
"fill6","#00B9E3"
"fill7","#619CFF"
"fill8","#DB72FB"
"fill9","#FF61C3"
"fill10","#F8766D"
"fill11","#D39200"
"fill12","#93AA00"
"fill13","#00BA38"
"fill14","#00C19F"
"fill15","#00B9E3"
"fill16","#619CFF"
"fill17","#DB72FB"
"fill18","#FF61C3"
"fill19","#F8766D"
"fill20","#D39200"
"fill21","#93AA00"
"fill22","#00BA38"
"fill23","#00C19F"
"fill24","#00B9E3"
"fill25","#619CFF"
"fill26","#DB72FB"
"fill27","#FF61C3"
"fill28","#F8766D"
"fill29","#D39200"
"fill30","#93AA00"
"fill31","#00BA38"
"fill32","#00C19F"
"fill33","#00B9E3"
"fill34","#619CFF"
"fill35","#DB72FB"
"fill36","#FF61C3"
"ymin1","0.804670251771705"
"ymin2","0.197295506115138"
"ymin3","0.428321914978413"
"ymin4","0.365632879508707"
"ymin5","0.528167380836683"
"ymin6","0.390446917822422"
"ymin7","0.361596674546293"
"ymin8","0"
"ymin9","0.2926"
"ymin10","0.679749049195219"
"ymin11","0.129242493306542"
"ymin12","0.16740323593261"
"ymin13","0.269352112474306"
"ymin14","0.435547346340196"
"ymin15","0.296399159817874"
"ymin16","0.25098989798394"
"ymin17","0"
"ymin18","0.2666"
"ymin19","0.661842514777445"
"ymin20","0.344735716423854"
"ymin21","0.683700929445219"
"ymin22","0.579042410036029"
"ymin23","0.653688077037625"
"ymin24","0.512287884693732"
"ymin25","0.499830589181267"
"ymin26","0"
"ymin27","0.4776"
"ymin28","0.932131089985698"
"ymin29","0.621295213265729"
"ymin30","1.41686086363339"
"ymin31","0.786786169625697"
"ymin32","0.917345470270883"
"ymin33","0.802949135129597"
"ymin34","0.801302283447167"
"ymin35","0.1176"
"ymin36","0.3529"
"lower1","0.836761990926158"
"lower2","0.242319190868291"
"lower3","0.55015653872788"
"lower4","0.4650527020962"
"lower5","0.64835920458784"
"lower6","0.443409098024839"
"lower7","0.407874228984662"
"lower8","0"
"lower9","0.526175"
"lower10","0.779393034190993"
"lower11","0.179289938202476"
"lower12","0.339591160453548"
"lower13","0.353611164565146"
"lower14","0.546288952484675"
"lower15","0.419673542122105"
"lower16","0.388049688105728"
"lower17","0"
"lower18","0.438075"
"lower19","0.789761964601417"
"lower20","0.36633013995533"
"lower21","0.741353958946989"
"lower22","0.592197764487954"
"lower23","0.680026216850733"
"lower24","0.549180726727446"
"lower25","0.520842139806994"
"lower26","0.055075"
"lower27","0.4832"
"lower28","0.985745988432397"
"lower29","0.647741477883636"
"lower30","1.83630483003884"
"lower31","0.827090489793271"
"lower32","0.919593366260372"
"lower33","0.811295724562848"
"lower34","0.808297381057683"
"lower35","0.258925"
"lower36","0.505675"
