"","coefficients","meanvalue","standarderror","name_molecule","i"
"1","ICCS M1",0.892823332647198,0.0411772014759274,"Tom40_Mrpl4","Tom40_Mrpl4"
"2","ICCS M2",0.292253248516542,0.027059919166296,"Tom40_Mrpl4","Tom40_Mrpl4"
"3","LI (DeBias)",0.642823111772057,0.0752948946085215,"Tom40_Mrpl4","Tom40_Mrpl4"
"4","Mander's M1",0.505208966025279,0.0348496185544496,"Tom40_Mrpl4","Tom40_Mrpl4"
"5","Mander's M2",0.716765213322893,0.0323455783582644,"Tom40_Mrpl4","Tom40_Mrpl4"
"6","Pearson's Corr.",0.505343129570316,0.0255654061203791,"Tom40_Mrpl4","Tom40_Mrpl4"
"7","Pearson's with tresh.",0.486467528729929,0.0295766145558735,"Tom40_Mrpl4","Tom40_Mrpl4"
"8","Thresholded Overlap Coeff ch1",0.04792,0.0277959901184805,"Tom40_Mrpl4","Tom40_Mrpl4"
"9","Thresholded Overlap Coeff ch2",0.59144,0.0475664615739563,"Tom40_Mrpl4","Tom40_Mrpl4"
"10","ICCS M1",0.882296961015441,0.0419239332907497,"Tom40_Cbp3","Tom40_Cbp3"
"11","ICCS M2",0.258751826314764,0.0339994826047293,"Tom40_Cbp3","Tom40_Cbp3"
"12","LI (DeBias)",0.565328099944163,0.140072423174475,"Tom40_Cbp3","Tom40_Cbp3"
"13","Mander's M1",0.444876325515265,0.0448581722149943,"Tom40_Cbp3","Tom40_Cbp3"
"14","Mander's M2",0.624704949172179,0.0420252782988779,"Tom40_Cbp3","Tom40_Cbp3"
"15","Pearson's Corr.",0.470530911274199,0.0366674482906885,"Tom40_Cbp3","Tom40_Cbp3"
"16","Pearson's with tresh.",0.443099311887564,0.0407958776200373,"Tom40_Cbp3","Tom40_Cbp3"
"17","Thresholded Overlap Coeff ch1",0.01973,0.0070366508763442,"Tom40_Cbp3","Tom40_Cbp3"
"18","Thresholded Overlap Coeff ch2",0.5169,0.0476837521827113,"Tom40_Cbp3","Tom40_Cbp3"
"19","ICCS M1",0.841999761831982,0.0325844195702258,"Tom40_Tom20","Tom40_Tom20"
"20","ICCS M2",0.402736211374401,0.0160148569553237,"Tom40_Tom20","Tom40_Tom20"
"21","LI (DeBias)",0.991764844005148,0.0897610139731992,"Tom40_Tom20","Tom40_Tom20"
"22","Mander's M1",0.633304076936487,0.0165213003336195,"Tom40_Tom20","Tom40_Tom20"
"23","Mander's M2",0.744358367557501,0.0233216987748529,"Tom40_Tom20","Tom40_Tom20"
"24","Pearson's Corr.",0.580767349506577,0.0181236596630471,"Tom40_Tom20","Tom40_Tom20"
"25","Pearson's with tresh.",0.56548083468479,0.0195547597690565,"Tom40_Tom20","Tom40_Tom20"
"26","Thresholded Overlap Coeff ch1",0.08444,0.0170976164680604,"Tom40_Tom20","Tom40_Tom20"
"27","Thresholded Overlap Coeff ch2",0.50536,0.0459292431657411,"Tom40_Tom20","Tom40_Tom20"
"28","ICCS M1",1.01459168350167,0.0228854055389171,"Tom40_Tom40","Tom40_Tom40"
"29","ICCS M2",0.715938669990313,0.0332009087077519,"Tom40_Tom40","Tom40_Tom40"
"30","LI (DeBias)",2.22803305040278,0.157322637545447,"Tom40_Tom40","Tom40_Tom40"
"31","Mander's M1",0.857060155957846,0.0169369571131721,"Tom40_Tom40","Tom40_Tom40"
"32","Mander's M2",0.92394942514072,0.00821094948052816,"Tom40_Tom40","Tom40_Tom40"
"33","Pearson's Corr.",0.848304966602621,0.0118448582362794,"Tom40_Tom40","Tom40_Tom40"
"34","Pearson's with tresh.",0.847331524567921,0.0121642740184486,"Tom40_Tom40","Tom40_Tom40"
"35","Thresholded Overlap Coeff ch1",0.40833,0.0842390923370959,"Tom40_Tom40","Tom40_Tom40"
"36","Thresholded Overlap Coeff ch2",0.65082,0.0601500047104459,"Tom40_Tom40","Tom40_Tom40"
