"","Picture","method","value"
"1","Tom40_Mrpl4","ICCS.M1",0.958843497407647
"2","Tom40_Mrpl4","ICCS.M1",0.88734374662556
"3","Tom40_Mrpl4","ICCS.M1",0.930924911593957
"4","Tom40_Mrpl4","ICCS.M1",0.965140659826997
"5","Tom40_Mrpl4","ICCS.M1",0.948718640503404
"6","Tom40_Mrpl4","ICCS.M1",0.881180416104935
"7","Tom40_Mrpl4","ICCS.M1",1.11362385807812
"8","Tom40_Mrpl4","ICCS.M1",0.821955849199899
"9","Tom40_Mrpl4","ICCS.M1",0.615831495359754
"10","Tom40_Mrpl4","ICCS.M1",0.804670251771705
"11","Tom40_Cbp3","ICCS.M1",1.08108657431207
"12","Tom40_Cbp3","ICCS.M1",0.679749049195219
"13","Tom40_Cbp3","ICCS.M1",1.05703341163036
"14","Tom40_Cbp3","ICCS.M1",0.853722223745502
"15","Tom40_Cbp3","ICCS.M1",0.771566704870817
"16","Tom40_Cbp3","ICCS.M1",0.802872022151519
"17","Tom40_Cbp3","ICCS.M1",0.993569667078958
"18","Tom40_Cbp3","ICCS.M1",0.893672520963294
"19","Tom40_Cbp3","ICCS.M1",0.766083637332971
"20","Tom40_Cbp3","ICCS.M1",0.923613798873692
"21","Tom40_Tom20","ICCS.M1",0.982838007726273
"22","Tom40_Tom20","ICCS.M1",0.864209898144596
"23","Tom40_Tom20","ICCS.M1",0.661842514777445
"24","Tom40_Tom20","ICCS.M1",0.774170912247046
"25","Tom40_Tom20","ICCS.M1",0.892081872525462
"26","Tom40_Tom20","ICCS.M1",0.981411254650291
"27","Tom40_Tom20","ICCS.M1",0.836535121664532
"28","Tom40_Tom20","ICCS.M1",0.865089510221963
"29","Tom40_Tom20","ICCS.M1",0.84494061783113
"30","Tom40_Tom20","ICCS.M1",0.716877908531082
"31","Tom40_Tom40","ICCS.M1",1.08637475149273
"32","Tom40_Tom40","ICCS.M1",1.0041072134581
"33","Tom40_Tom40","ICCS.M1",0.932131089985698
"34","Tom40_Tom40","ICCS.M1",1.0597858764504
"35","Tom40_Tom40","ICCS.M1",1.06085477799718
"36","Tom40_Tom40","ICCS.M1",0.979625580090495
"37","Tom40_Tom40","ICCS.M1",0.860227889214585
"38","Tom40_Tom40","ICCS.M1",1.08123506089591
"39","Tom40_Tom40","ICCS.M1",1.04445607368864
"40","Tom40_Tom40","ICCS.M1",1.03711852174296
"41","Tom40_Mrpl4","ICCS.M2",0.319488586932065
"42","Tom40_Mrpl4","ICCS.M2",0.300858486009106
"43","Tom40_Mrpl4","ICCS.M2",0.292896809588862
"44","Tom40_Mrpl4","ICCS.M2",0.360409512388989
"45","Tom40_Mrpl4","ICCS.M2",0.197295506115138
"46","Tom40_Mrpl4","ICCS.M2",0.492062086357928
"47","Tom40_Mrpl4","ICCS.M2",0.220975210702485
"48","Tom40_Mrpl4","ICCS.M2",0.25042101431022
"49","Tom40_Mrpl4","ICCS.M2",0.247549527404362
"50","Tom40_Mrpl4","ICCS.M2",0.240575745356267
"51","Tom40_Cbp3","ICCS.M2",0.483286408870666
"52","Tom40_Cbp3","ICCS.M2",0.129242493306542
"53","Tom40_Cbp3","ICCS.M2",0.185211573082905
"54","Tom40_Cbp3","ICCS.M2",0.376177034174056
"55","Tom40_Cbp3","ICCS.M2",0.267172443277319
"56","Tom40_Cbp3","ICCS.M2",0.266164483405399
"57","Tom40_Cbp3","ICCS.M2",0.170906075070775
"58","Tom40_Cbp3","ICCS.M2",0.305208519770219
"59","Tom40_Cbp3","ICCS.M2",0.177316059908999
"60","Tom40_Cbp3","ICCS.M2",0.22683317228076
"61","Tom40_Tom20","ICCS.M2",0.513963166887829
"62","Tom40_Tom20","ICCS.M2",0.401372010984826
"63","Tom40_Tom20","ICCS.M2",0.40207166322911
"64","Tom40_Tom20","ICCS.M2",0.430117764336379
"65","Tom40_Tom20","ICCS.M2",0.403402853735404
"66","Tom40_Tom20","ICCS.M2",0.344735716423854
"67","Tom40_Tom20","ICCS.M2",0.367062933184192
"68","Tom40_Tom20","ICCS.M2",0.443744320168678
"69","Tom40_Tom20","ICCS.M2",0.354805809248025
"70","Tom40_Tom20","ICCS.M2",0.36608587554571
"71","Tom40_Tom40","ICCS.M2",0.625541301634574
"72","Tom40_Tom40","ICCS.M2",0.642090112454182
"73","Tom40_Tom40","ICCS.M2",0.803131109405
"74","Tom40_Tom40","ICCS.M2",0.706381776055646
"75","Tom40_Tom40","ICCS.M2",0.672390360459457
