"","class","no_pic","t","OTC"
"1","Tom40_Cbp3",1,0,0.007554181
"2","Tom40_Cbp3",1,15,0.034965117
"3","Tom40_Cbp3",1,30,0.095628925
"4","Tom40_Cbp3",1,45,0.192242981
"5","Tom40_Cbp3",1,60,0.3036352
"6","Tom40_Cbp3",1,75,0.447897939
"7","Tom40_Cbp3",1,90,0.557976712
"8","Tom40_Cbp3",1,105,0.667645214
"9","Tom40_Cbp3",1,120,0.744833449
"10","Tom40_Cbp3",1,135,0.786043257
"11","Tom40_Cbp3",1,150,0.816328974
"12","Tom40_Cbp3",1,165,0.834356197
"13","Tom40_Cbp3",1,180,0.850247334
"14","Tom40_Cbp3",1,195,0.87850214
"15","Tom40_Cbp3",1,210,0.902626414
"16","Tom40_Cbp3",1,225,0.925623666
"17","Tom40_Cbp3",1,240,0.949883747
"18","Tom40_Cbp3",1,255,0.965442002
"19","Tom40_Cbp3",1,270,0.972990547
"20","Tom40_Cbp3",1,285,0.977083728
"21","Tom40_Cbp3",1,300,0.979251799
"22","Tom40_Cbp3",1,315,0.980838897
"23","Tom40_Cbp3",1,330,0.982471282
"24","Tom40_Cbp3",1,345,0.983181456
"25","Tom40_Cbp3",1,360,0.983616988
"26","Tom40_Cbp3",1,375,0.98417212
"27","Tom40_Cbp3",1,390,0.984585299
"28","Tom40_Cbp3",1,405,0.984771616
"29","Tom40_Cbp3",1,420,0.985046965
"30","Tom40_Cbp3",1,435,0.985369348
"31","Tom40_Cbp3",1,450,0.985790829
"32","Tom40_Cbp3",1,465,0.986134951
"33","Tom40_Cbp3",1,480,0.986511348
"34","Tom40_Cbp3",1,495,0.987421583
"35","Tom40_Cbp3",1,510,0.987999454
"36","Tom40_Cbp3",1,525,0.988523106
"37","Tom40_Cbp3",1,540,0.989194855
"38","Tom40_Cbp3",1,555,0.990200266
"39","Tom40_Cbp3",1,570,0.991150651
"40","Tom40_Cbp3",1,585,0.992399099
"41","Tom40_Cbp3",1,600,0.993731363
"42","Tom40_Cbp3",1,615,0.994651247
"43","Tom40_Cbp3",1,630,0.995253004
"44","Tom40_Cbp3",1,645,0.995836906
"45","Tom40_Cbp3",1,660,0.99618436
"46","Tom40_Cbp3",1,675,0.996390294
"47","Tom40_Cbp3",1,690,0.996643334
"48","Tom40_Cbp3",1,705,0.996842518
"49","Tom40_Cbp3",1,720,0.996947044
"50","Tom40_Cbp3",1,735,0.997200796
"51","Tom40_Cbp3",1,750,0.997292739
"52","Tom40_Cbp3",1,765,0.997352816
"53","Tom40_Cbp3",1,780,0.997364532
"54","Tom40_Cbp3",1,795,0.99741617
"55","Tom40_Cbp3",1,810,0.99755284
"56","Tom40_Cbp3",1,825,0.997612337
"57","Tom40_Cbp3",1,840,0.99768188
"58","Tom40_Cbp3",1,855,0.997685958
"59","Tom40_Cbp3",1,870,0.997794928
"60","Tom40_Cbp3",1,885,0.997908421
"61","Tom40_Cbp3",1,900,0.997987645
"62","Tom40_Cbp3",1,915,0.998047092
"63","Tom40_Cbp3",1,930,0.998189621
"64","Tom40_Cbp3",1,945,0.99831056
"65","Tom40_Cbp3",1,960,0.998497364
"66","Tom40_Cbp3",1,975,0.998539635
"67","Tom40_Cbp3",1,990,0.998589172
"68","Tom40_Cbp3",1,1005,0.998767563
"69","Tom40_Cbp3",1,1020,0.998939095
"70","Tom40_Cbp3",1,1035,0.999008905
"71","Tom40_Cbp3",1,1050,0.999142639
"72","Tom40_Cbp3",1,1065,0.999252241
"73","Tom40_Cbp3",1,1080,0.999310862
"74","Tom40_Cbp3",1,1095,0.99939548
"75","Tom40_Cbp3",1,1110,0.999498424
"76","Tom40_Cbp3",1,1125,0.999534096
"77","Tom40_Cbp3",1,1140,0.999755952
"78","Tom40_Cbp3",1,1155,0.99979358
"79","Tom40_Cbp3",1,1170,0.999894482
"80","Tom40_Cbp3",1,1185,0.999938586
"81","Tom40_Cbp3",1,1200,0.999942567
"82","Tom40_Cbp3",1,1215,0.999980164
"83","Tom40_Cbp3",1,1230,0.999980184
"84","Tom40_Cbp3",1,1245,1
"85","Tom40_Cbp3",1,1260,1
"86","Tom40_Cbp3",1,1275,1
"87","Tom40_Cbp3",1,1290,1
"88","Tom40_Cbp3",1,1305,1
"89","Tom40_Cbp3",1,1320,1
"90","Tom40_Cbp3",1,1335,1
"91","Tom40_Cbp3",1,1350,1
"92","Tom40_Cbp3",2,0,0.002178113
"93","Tom40_Cbp3",2,15,0.007956925
"94","Tom40_Cbp3",2,30,0.019809734
"95","Tom40_Cbp3",2,45,0.036138851
"96","Tom40_Cbp3",2,60,0.060296591
"97","Tom40_Cbp3",2,75,0.129937783
"98","Tom40_Cbp3",2,90,0.259777434
"99","Tom40_Cbp3",2,105,0.352740953
"100","Tom40_Cbp3",2,120,0.494259747
"101","Tom40_Cbp3",2,135,0.617296743
"102","Tom40_Cbp3",2,150,0.698030725
"103","Tom40_Cbp3",2,165,0.738096707
"104","Tom40_Cbp3",2,180,0.757115255
"105","Tom40_Cbp3",2,195,0.775255404
"106","Tom40_Cbp3",2,210,0.784915994
"107","Tom40_Cbp3",2,225,0.79489765
"108","Tom40_Cbp3",2,240,0.803825858
"109","Tom40_Cbp3",2,255,0.815006753
"110","Tom40_Cbp3",2,270,0.826391486
"111","Tom40_Cbp3",2,285,0.83827368
"112","Tom40_Cbp3",2,300,0.8523437
"113","Tom40_Cbp3",2,315,0.861920034
"114","Tom40_Cbp3",2,330,0.878908525
"115","Tom40_Cbp3",2,345,0.890453639
"116","Tom40_Cbp3",2,360,0.900914168
"117","Tom40_Cbp3",2,375,0.914272997
"118","Tom40_Cbp3",2,390,0.929181363
"119","Tom40_Cbp3",2,405,0.936623366
"120","Tom40_Cbp3",2,420,0.944781405
"121","Tom40_Cbp3",2,435,0.951205958
"122","Tom40_Cbp3",2,450,0.956111225
"123","Tom40_Cbp3",2,465,0.9599317
"124","Tom40_Cbp3",2,480,0.962548277
"125","Tom40_Cbp3",2,495,0.964783962
"126","Tom40_Cbp3",2,510,0.966616088
"127","Tom40_Cbp3",2,525,0.968651327
"128","Tom40_Cbp3",2,540,0.971168454
"129","Tom40_Cbp3",2,555,0.975267089
"130","Tom40_Cbp3",2,570,0.978074034
"131","Tom40_Cbp3",2,585,0.980415566
"132","Tom40_Cbp3",2,600,0.981649416
"133","Tom40_Cbp3",2,615,0.983397442
"134","Tom40_Cbp3",2,630,0.984695936
"135","Tom40_Cbp3",2,645,0.986465923
"136","Tom40_Cbp3",2,660,0.987612457
"137","Tom40_Cbp3",2,675,0.988792864
"138","Tom40_Cbp3",2,690,0.990734102
"139","Tom40_Cbp3",2,705,0.993069466
"140","Tom40_Cbp3",2,720,0.994697999
"141","Tom40_Cbp3",2,735,0.995452159
"142","Tom40_Cbp3",2,750,0.99638638
"143","Tom40_Cbp3",2,765,0.996970832
"144","Tom40_Cbp3",2,780,0.99746765
"145","Tom40_Cbp3",2,795,0.998191094
"146","Tom40_Cbp3",2,810,0.998536078
"147","Tom40_Cbp3",2,825,0.99905297
"148","Tom40_Cbp3",2,840,0.999482325
"149","Tom40_Cbp3",2,855,0.999744658
"150","Tom40_Cbp3",2,870,0.999909476
"151","Tom40_Cbp3",2,885,1
"152","Tom40_Cbp3",2,900,1
"153","Tom40_Cbp3",2,915,1
"154","Tom40_Cbp3",2,930,1
"155","Tom40_Cbp3",2,945,1
"156","Tom40_Cbp3",2,960,1
"157","Tom40_Cbp3",2,975,1
"158","Tom40_Cbp3",2,990,1
"159","Tom40_Cbp3",2,1005,1
"160","Tom40_Cbp3",2,1020,1
"161","Tom40_Cbp3",2,1035,1
"162","Tom40_Cbp3",2,1050,1
"163","Tom40_Cbp3",2,1065,1
"164","Tom40_Cbp3",2,1080,1
