"","x"
"fill1","#F8766D"
"fill2","#D39200"
"fill3","#93AA00"
"fill4","#00BA38"
"fill5","#00C19F"
"fill6","#00B9E3"
"fill7","#619CFF"
"fill8","#DB72FB"
"fill9","#FF61C3"
"fill10","#F8766D"
"fill11","#D39200"
"fill12","#93AA00"
"fill13","#00BA38"
"fill14","#00C19F"
"fill15","#00B9E3"
"fill16","#619CFF"
"fill17","#DB72FB"
"fill18","#FF61C3"
"fill19","#F8766D"
"fill20","#D39200"
"fill21","#93AA00"
"fill22","#00BA38"
"fill23","#00C19F"
"fill24","#00B9E3"
"fill25","#619CFF"
"fill26","#DB72FB"
"fill27","#FF61C3"
"fill28","#F8766D"
"fill29","#D39200"
"fill30","#93AA00"
"fill31","#00BA38"
"fill32","#00C19F"
"fill33","#00B9E3"
"fill34","#619CFF"
"fill35","#DB72FB"
"fill36","#FF61C3"
"ymin1","0.305111654871786"
"ymin2","0.0615671024332166"
"ymin3","0.256421661655612"
"ymin4","0.255844697777703"
"ymin5","0.256782411789637"
"ymin6","0.190578391832406"
"ymin7","0.108865780513743"
"ymin8","0"
"ymin9","0.2222"
"ymin10","0.625135955588062"
"ymin11","0.0695037645264031"
"ymin12","0.143318763482178"
"ymin13","0.242442133170971"
"ymin14","0.361204584755686"
"ymin15","0.224662234442031"
"ymin16","0.184804967243417"
"ymin17","0"
"ymin18","0.1698"
"ymin19","0.645197026849635"
"ymin20","0.191467101274695"
"ymin21","0.502937407542182"
"ymin22","0.528388342618071"
"ymin23","0.642387417897862"
"ymin24","0.371629171240123"
"ymin25","0.356599685868104"
"ymin26","0"
"ymin27","0.2272"
"ymin28","0.923726977560406"
"ymin29","0.49180777223021"
"ymin30","1.25313496291434"
"ymin31","0.804107894897973"
"ymin32","0.885320865727202"
"ymin33","0.721495247955634"
"ymin34","0.708457079419956"
"ymin35","0"
"ymin36","0.2"
"lower1","0.614663921912821"
"lower2","0.151397817814401"
"lower3","0.42978392690524"
"lower4","0.426707566982046"
"lower5","0.510511298916194"
"lower6","0.327157867572265"
"lower7","0.269762777105293"
"lower8","0"
"lower9","0.43645"
"lower10","0.753122207910129"
"lower11","0.178975320626555"
"lower12","0.429383091685839"
"lower13","0.448487228091714"
"lower14","0.608507908227075"
"lower15","0.38287464030707"
"lower16","0.353449791884294"
"lower17","0"
"lower18","0.2812"
"lower19","0.762912472074995"
"lower20","0.313157094147763"
"lower21","0.70914376391408"
"lower22","0.657650552623698"
"lower23","0.758228143073226"
"lower24","0.485767763260942"
"lower25","0.472863245951888"
"lower26","0"
"lower27","0.441625"
"lower28","0.968421414726472"
"lower29","0.612905888773269"
"lower30","1.60849112472865"
"lower31","0.868981278393955"
"lower32","0.931671273710697"
"lower33","0.787841153692876"
"lower34","0.785583440718129"
"lower35","0.243525"
"lower36","0.427625"
