"","coefficients","meanvalue","standarderror","name_molecule","i"
"1","ICCS M1",0.720813575892111,0.0172828856888988,"Tom40_Tom40","Tom40_Mrpl4"
"2","ICCS M2",0.328635001504396,0.0280381865093197,"Tom40_Tom40","Tom40_Mrpl4"
"3","LI (DeBias)",0.621061323514231,0.0309300017156554,"Tom40_Tom40","Tom40_Mrpl4"
"4","Mander's M1",0.559093838315799,0.0192072768642304,"Tom40_Tom40","Tom40_Mrpl4"
"5","Mander's M2",0.623853586320446,0.0146900066131634,"Tom40_Tom40","Tom40_Mrpl4"
"6","Pearson's Corr.",0.431800620212232,0.013767136871391,"Tom40_Tom40","Tom40_Mrpl4"
"7","Pearson's with tresh.",0.403269890840507,0.0160187594262754,"Tom40_Tom40","Tom40_Mrpl4"
"8","Thresholded Overlap Coeff ch1",0.04846,0.0124625355333171,"Tom40_Tom40","Tom40_Mrpl4"
"9","Thresholded Overlap Coeff ch2",0.573011,0.0173447043060597,"Tom40_Tom40","Tom40_Mrpl4"
"10","ICCS M1",0.829984868588496,0.0119035576444815,"Tom40_Tom40","Tom40_Cbp3"
"11","ICCS M2",0.22613294169176,0.00840362068365022,"Tom40_Tom40","Tom40_Cbp3"
"12","LI (DeBias)",0.547280585537073,0.022280037531902,"Tom40_Tom40","Tom40_Cbp3"
"13","Mander's M1",0.533856070892812,0.0116971049626318,"Tom40_Tom40","Tom40_Cbp3"
"14","Mander's M2",0.670520814144796,0.0128728839433694,"Tom40_Tom40","Tom40_Cbp3"
"15","Pearson's Corr.",0.426713538315106,0.00992630997672481,"Tom40_Tom40","Tom40_Cbp3"
"16","Pearson's with tresh.",0.404814132764513,0.0108931728714687,"Tom40_Tom40","Tom40_Cbp3"
"17","Thresholded Overlap Coeff ch1",0.0231009523809524,0.00434462058334863,"Tom40_Tom40","Tom40_Cbp3"
"18","Thresholded Overlap Coeff ch2",0.461026666666667,0.017786267558856,"Tom40_Tom40","Tom40_Cbp3"
"19","ICCS M1",0.822918025693078,0.00792782931432211,"Tom40_Tom40","Tom40_Tom20"
"20","ICCS M2",0.382858681155153,0.00863191150417054,"Tom40_Tom40","Tom40_Tom20"
"21","LI (DeBias)",0.957064603754258,0.027195175699369,"Tom40_Tom40","Tom40_Tom20"
"22","Mander's M1",0.71879626132602,0.00972851998505746,"Tom40_Tom40","Tom40_Tom20"
"23","Mander's M2",0.80417667741383,0.00771541018449543,"Tom40_Tom40","Tom40_Tom20"
"24","Pearson's Corr.",0.558170868230203,0.00796511914664446,"Tom40_Tom40","Tom40_Tom20"
"25","Pearson's with tresh.",0.548462738154424,0.00845229208818504,"Tom40_Tom40","Tom40_Tom20"
"26","Thresholded Overlap Coeff ch1",0.060151,0.00605494763800563,"Tom40_Tom40","Tom40_Tom20"
"27","Thresholded Overlap Coeff ch2",0.522053,0.0151438566038636,"Tom40_Tom40","Tom40_Tom20"
"28","ICCS M1",1.02303312089348,0.00564738105699624,"Tom40_Tom40","Tom40_Tom40"
"29","ICCS M2",0.674189159115206,0.00803086327887419,"Tom40_Tom40","Tom40_Tom40"
"30","LI (DeBias)",2.03446874096233,0.0487846479825086,"Tom40_Tom40","Tom40_Tom40"
"31","Mander's M1",0.889616589119056,0.0047569741455325,"Tom40_Tom40","Tom40_Tom40"
"32","Mander's M2",0.94785202608003,0.00309733407493005,"Tom40_Tom40","Tom40_Tom40"
"33","Pearson's Corr.",0.828406373626967,0.00508632784895977,"Tom40_Tom40","Tom40_Tom40"
"34","Pearson's with tresh.",0.826802259021448,0.00526315609965201,"Tom40_Tom40","Tom40_Tom40"
"35","Thresholded Overlap Coeff ch1",0.394669,0.0230816075143055,"Tom40_Tom40","Tom40_Tom40"
"36","Thresholded Overlap Coeff ch2",0.602106,0.020150446410575,"Tom40_Tom40","Tom40_Tom40"
