"","Picture","method","value"
"1","Tom40_Mrpl4","ICCS.M1",0.513870722326886
"2","Tom40_Mrpl4","ICCS.M1",0.509275561867038
"3","Tom40_Mrpl4","ICCS.M1",0.593750962293192
"4","Tom40_Mrpl4","ICCS.M1",0.399825162993249
"5","Tom40_Mrpl4","ICCS.M1",0.634739056256675
"6","Tom40_Mrpl4","ICCS.M1",0.359283074990764
"7","Tom40_Mrpl4","ICCS.M1",0.512908011928873
"8","Tom40_Mrpl4","ICCS.M1",0.608031884451196
"9","Tom40_Mrpl4","ICCS.M1",0.395034017630003
"10","Tom40_Mrpl4","ICCS.M1",0.377097618635564
"11","Tom40_Mrpl4","ICCS.M1",0.408939842810167
"12","Tom40_Mrpl4","ICCS.M1",0.305111654871786
"13","Tom40_Mrpl4","ICCS.M1",0.633695223815596
"14","Tom40_Mrpl4","ICCS.M1",0.588509221900767
"15","Tom40_Mrpl4","ICCS.M1",0.600130949336876
"16","Tom40_Mrpl4","ICCS.M1",0.42727401377937
"17","Tom40_Mrpl4","ICCS.M1",0.552667166694575
"18","Tom40_Mrpl4","ICCS.M1",0.58548382546766
"19","Tom40_Mrpl4","ICCS.M1",0.594447485976413
"20","Tom40_Mrpl4","ICCS.M1",0.153427991402056
"21","Tom40_Mrpl4","ICCS.M1",0.424461820040842
"22","Tom40_Mrpl4","ICCS.M1",0.373340356827742
"23","Tom40_Mrpl4","ICCS.M1",0.532106749843898
"24","Tom40_Mrpl4","ICCS.M1",0.514637314173731
"25","Tom40_Mrpl4","ICCS.M1",0.723382402825469
"26","Tom40_Mrpl4","ICCS.M1",0.838832828005992
"27","Tom40_Mrpl4","ICCS.M1",0.945362697679274
"28","Tom40_Mrpl4","ICCS.M1",0.877916838612248
"29","Tom40_Mrpl4","ICCS.M1",0.855506286598907
"30","Tom40_Mrpl4","ICCS.M1",0.650807973996688
"31","Tom40_Mrpl4","ICCS.M1",1.0027031281446
"32","Tom40_Mrpl4","ICCS.M1",0.778184783740252
"33","Tom40_Mrpl4","ICCS.M1",0.919443618634175
"34","Tom40_Mrpl4","ICCS.M1",0.756882460933533
"35","Tom40_Mrpl4","ICCS.M1",0.86805334826549
"36","Tom40_Mrpl4","ICCS.M1",1.04055146176058
"37","Tom40_Mrpl4","ICCS.M1",0.616874601066697
"38","Tom40_Mrpl4","ICCS.M1",0.666239192201461
"39","Tom40_Mrpl4","ICCS.M1",0.840279225314693
"40","Tom40_Mrpl4","ICCS.M1",0.683978507155458
"41","Tom40_Mrpl4","ICCS.M1",0.917423440151742
"42","Tom40_Mrpl4","ICCS.M1",0.840654280641567
"43","Tom40_Mrpl4","ICCS.M1",0.895642806642811
"44","Tom40_Mrpl4","ICCS.M1",0.971347023380041
"45","Tom40_Mrpl4","ICCS.M1",1.00494021247887
"46","Tom40_Mrpl4","ICCS.M1",0.952643551688954
"47","Tom40_Mrpl4","ICCS.M1",0.871961659053612
"48","Tom40_Mrpl4","ICCS.M1",0.813060250841241
"49","Tom40_Mrpl4","ICCS.M1",1.00541756080861
"50","Tom40_Mrpl4","ICCS.M1",0.819259296858288
"51","Tom40_Mrpl4","ICCS.M1",0.854841820912438
"52","Tom40_Mrpl4","ICCS.M1",0.831894629796249
"53","Tom40_Mrpl4","ICCS.M1",0.702345612443683
"54","Tom40_Mrpl4","ICCS.M1",0.881303182049105
"55","Tom40_Mrpl4","ICCS.M1",0.874336095933777
"56","Tom40_Mrpl4","ICCS.M1",0.881603932556541
"57","Tom40_Mrpl4","ICCS.M1",0.832419993887498
"58","Tom40_Mrpl4","ICCS.M1",0.903297013005368
"59","Tom40_Mrpl4","ICCS.M1",0.920650682145005
"60","Tom40_Mrpl4","ICCS.M1",0.73341795403354
"61","Tom40_Mrpl4","ICCS.M1",0.693861487506624
"62","Tom40_Mrpl4","ICCS.M1",0.892962088644883
"63","Tom40_Mrpl4","ICCS.M1",0.826378728149542
"64","Tom40_Mrpl4","ICCS.M1",0.923415644438265
"65","Tom40_Mrpl4","ICCS.M1",0.85192027213725
"66","Tom40_Mrpl4","ICCS.M1",0.74571014413321
"67","Tom40_Mrpl4","ICCS.M1",0.890346456999363
"68","Tom40_Mrpl4","ICCS.M1",0.875145578139954
"69","Tom40_Mrpl4","ICCS.M1",0.820038632705187
"70","Tom40_Mrpl4","ICCS.M1",0.852423232156843
"71","Tom40_Mrpl4","ICCS.M1",0.923874315621992
"72","Tom40_Mrpl4","ICCS.M1",0.838474357586401
"73","Tom40_Mrpl4","ICCS.M1",0.798048214961623
"74","Tom40_Mrpl4","ICCS.M1",0.853850614553997
"75","Tom40_Mrpl4","ICCS.M1",0.849034006996886
"76","Tom40_Mrpl4","ICCS.M1",0.686863760974086
"77","Tom40_Mrpl4","ICCS.M1",0.732779386023473
"78","Tom40_Mrpl4","ICCS.M1",0.648622727522854
"79","Tom40_Mrpl4","ICCS.M1",0.656756809436108
"80","Tom40_Mrpl4","ICCS.M1",0.655097623632926
"81","Tom40_Mrpl4","ICCS.M1",0.69178931988826
"82","Tom40_Mrpl4","ICCS.M1",0.640791977140323
"83","Tom40_Mrpl4","ICCS.M1",0.674848281193629
"84","Tom40_Mrpl4","ICCS.M1",0.705700286607985
"85","Tom40_Mrpl4","ICCS.M1",0.704435918335838
"86","Tom40_Mrpl4","ICCS.M1",0.691698049986535
"87","Tom40_Mrpl4","ICCS.M1",0.589927444982867
"88","Tom40_Mrpl4","ICCS.M1",0.589236055022275
"89","Tom40_Mrpl4","ICCS.M1",0.710376747060706
"90","Tom40_Mrpl4","ICCS.M1",0.746425979304018
"91","Tom40_Mrpl4","ICCS.M1",0.672244762184804
"92","Tom40_Mrpl4","ICCS.M1",0.783601289958793
"93","Tom40_Mrpl4","ICCS.M1",0.752254892656111
"94","Tom40_Mrpl4","ICCS.M1",0.687252237950063
"95","Tom40_Mrpl4","ICCS.M1",0.708354402056222
"96","Tom40_Mrpl4","ICCS.M1",0.784401769674973
"97","Tom40_Mrpl4","ICCS.M1",0.606582192150599
"98","Tom40_Mrpl4","ICCS.M1",0.690391248100083
"99","Tom40_Mrpl4","ICCS.M1",0.630247201519513
"100","Tom40_Mrpl4","ICCS.M1",0.767848323556732
"101","Tom40_Cbp3","ICCS.M1",1.0006269830118
"102","Tom40_Cbp3","ICCS.M1",0.93648189037438
"103","Tom40_Cbp3","ICCS.M1",1.01829997487298
"104","Tom40_Cbp3","ICCS.M1",0.915641332822905
